City_ID,City,Country,Max Temp,Weather Description,Lat,Lng,Hotel Name
435,Morant Bay,JM,82.02,Clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
441,Banda Aceh,ID,79.41,Clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
446,Bima,ID,83.05,Clouds,-8.4667,118.7167,Lambitu Hotel
449,Yakima,US,78.85,Clear,46.4665,-120.6678,
451,Lompoc,US,73.53,Clouds,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
458,Montilla,ES,73.6,Clouds,37.5863,-4.6381,Hotel Don Gonzalo
461,Tomigusuku,JP,78.93,Clouds,26.185,127.675,Hotel Gran View Okinawa
462,Galesong,ID,78.82,Clouds,-5.3166,119.3661,Sapriadi Appy
463,Balkanabat,TM,79.29,Clear,39.5108,54.3671,Nebitchi Hotel
469,Garwa,IN,75.34,Clouds,24.1833,83.8167,A.PS.D Utsav Garden
471,Kisangani,CD,70.9,Rain,0.5167,25.2,Grand Ramela Hotel
474,Samarai,PG,80.78,Clouds,-10.6167,150.6667,Nuli Sapi
475,Rajpipla,IN,73.49,Clouds,21.8667,73.5,Lal Tower Govt. Guest House
480,Adeje,ES,72.48,Clouds,28.1227,-16.726,Gran Tacande Wellness & Relax
482,Kathu,TH,83.75,Clouds,7.9178,98.3332,Novotel Phuket Resort
488,Ixtapa,MX,81.63,Clouds,20.7,-105.2,hotel la terminal
490,Wajir,KE,75.52,Clouds,1.7471,40.0573,Mahatallah Hotel
491,Yamethin,MM,73.38,Clouds,20.4333,96.15,အလင်းရောင် ဘက်ထရီ
495,Garowe,SO,76.32,Clouds,8.4054,48.4845,Curubo Hotel
502,Ipueiras,BR,76.33,Clouds,-7.0333,-40.45,
506,Faridpur,BD,78.31,Clear,23.6,89.8333,Progoti Muslim hostel
507,Cam Ranh,VN,76.96,Rain,11.9214,109.1591,OYO 598 Peony Hotel
508,Ledyard,US,71.28,Rain,41.4398,-72.0142,Stonecroft Country Inn
509,Khandbari,NP,70.0,Clouds,27.3747,87.2039,Sainik Hotel And Lodge
512,Linhares,BR,70.79,Clouds,-19.3911,-40.0722,Hotel Conceição
521,Qui Nhon,VN,78.3,Clouds,13.7667,109.2333,Seagull Hotel
523,Tautira,PF,77.25,Rain,-17.7333,-149.15,Pension Oaoa
527,Nara,JP,71.49,Clouds,34.6851,135.8049,Guesthouse Nara Komachi
528,Santa Cruz,BO,78.85,Clouds,-17.8,-63.1667,Aviador Hotel Boutique
529,Mayumba,GA,74.91,Rain,-3.432,10.6554,LIKWALE LODGE
531,Muli,MV,81.23,Clouds,2.9167,73.5667,Medhufushi Island Resort
532,Padilla,CO,76.57,Clouds,3.2204,-76.3139,La Granadina
537,Trincomalee,LK,80.53,Clouds,8.5711,81.2335,Welcombe Hotel
538,Ranong,TH,79.05,Clouds,9.9658,98.6348,Numsai Khaosuay Resort Ranong
541,Mankono,CI,70.68,Rain,8.0586,-6.1897,Hôtel cotonputeur
543,Ha Noi,VN,77.0,Clouds,21.0245,105.8412,Hotel du Parc HaNoi
547,Surajgarh,IN,80.62,Clouds,28.3124,75.7347,Hotel Queen Garden
553,Basoko,CD,71.82,Rain,1.2391,23.616,Jackyna Hotel
555,Shaoguan,CN,79.43,Clouds,24.8,113.5833,Shangcheng Hotel
557,Kiunga,PG,84.02,Clouds,-6.1219,141.2906,Airport Lodge Kiunga
561,Cururupu,BR,75.42,Clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
562,Thinadhoo,MV,80.74,Clouds,0.5333,72.9333,
564,Gat,IL,74.08,Clear,31.61,34.7642,OlusHome
565,Japura,ID,73.6,Clouds,-0.3167,102.35,Rumah mbah Jamah
567,Umm Lajj,SA,80.28,Clear,25.0213,37.2685,Moon light Furnished Units
568,Kirakira,SB,78.98,Clouds,-10.4544,161.9205,SanBiz Lodge
569,Puerto Colombia,CO,80.69,Clouds,10.9878,-74.9547,Hotel El Emigrante
571,Boende,CD,71.8,Rain,-0.2167,20.8667,
572,Villanueva De La Serena,ES,73.56,Clouds,38.9766,-5.7974,Hotel Veracruz
573,Pemba,MZ,74.1,Clouds,-12.974,40.5178,Guesthouse Samotina
576,Ponta Delgada,PT,76.5,Clouds,37.7333,-25.6667,Vila Nova Hotel
578,Moussoro,TD,80.24,Clouds,13.6408,16.4901,Pharmacie alnadja Moussoro
582,Champerico,GT,77.54,Clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
586,Tshela,CD,72.19,Clouds,-4.9833,12.9333,Hotel Mirador
589,Xuddur,SO,71.29,Clouds,4.1213,43.8894,Banjanay Hotel
594,Ambanja,MG,70.0,Clouds,-13.6833,48.45,Hotel Salama and Fast Food
596,Vila Franca Do Campo,PT,76.19,Clouds,37.7167,-25.4333,Pestana Bahia Praia
598,Labuan,MY,79.16,Clouds,5.2767,115.2417,Tiara Labuan Hotel
599,Goure,NE,81.55,Clouds,13.9835,10.2704,
600,Copacabana,CO,70.14,Clouds,6.3463,-75.5089,Hospedaje Brazil
601,Dogondoutchi,NE,80.89,Clouds,13.6393,4.0287,Hôtel Alheri Maison Alheri
603,Ituacu,BR,72.21,Clouds,-13.8133,-41.2967,Hotel Alelos
607,Pacific Grove,US,73.51,Clouds,36.6177,-121.9166,Lovers Point Inn
608,Huilong,CN,70.93,Clouds,31.8111,121.655,Hilton Garden Inn Qidong
609,Thoen,TH,72.88,Clouds,17.6129,99.2161,บ้านห้องนอน
610,Teguise,ES,70.02,Clouds,29.0605,-13.564,B&B La Casona de Nazaret
611,Eyl,SO,77.83,Clouds,7.9803,49.8164,Amiin Hotel
613,Karema,TZ,76.41,Clouds,-6.8205,30.4389,
615,Inhambane,MZ,73.4,Clouds,-23.865,35.3833,Oceano
616,Pundaguitan,PH,83.53,Clouds,6.3711,126.1689,Leonardo Family Beach House 1
621,Queimadas,BR,75.18,Clouds,-10.9783,-39.6264,Hotel Mandala
624,Matara,LK,76.73,Clouds,5.9485,80.5353,Amaloh Boutique Resort
625,Hervey Bay,AU,74.01,Clouds,-25.2986,152.8535,Shelly Bay Resort
628,Bairiki,KI,75.2,Rain,1.3292,172.9752,Tarawa Boutique Hotel
632,Wewak,PG,76.35,Rain,-3.5534,143.6268,In Wewak Boutique Hotel
633,Waynesboro,US,76.6,Clear,38.0685,-78.8895,"Holiday Inn Express & Suites Waynesboro-Route 340, an IHG Hotel"
634,Zhanakorgan,KZ,70.47,Clear,43.9098,67.2495,"""Ақпалас"" қонақ үйі"
635,Tingo Maria,PE,74.53,Clouds,-9.2895,-76.0088,Hospedaje Paraíso
636,Labuhan,ID,79.57,Rain,-6.8844,112.2051,DoubleFAG
637,Panama City,PA,82.35,Clouds,8.9936,-79.5197,Trump International Hotel & Tower Panama
638,Ise,JP,70.92,Clear,34.4833,136.7,Ise Fresh
641,Dicabisagan,PH,79.52,Clouds,17.0818,122.4157,Nancy Montanes Bernardo
643,Riyadh,SA,80.74,Clear,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
644,Rantauprapat,ID,73.27,Clouds,2.1,99.8333,Permata Land Hotel & Resort
645,Miri,MY,75.34,Clouds,4.4148,114.0089,"Mega Hotel, Miri"
647,Jacareacanga,BR,84.0,Clouds,-6.2222,-57.7528,Casa do Ian😎
655,Zaltan,LY,79.2,Clouds,32.947,11.8665,Fars Alfelale
656,Sao Miguel,BR,75.97,Clouds,-5.4667,-35.3667,CEJ - Centro Escoteiro da Juventude
658,Sosua,DO,80.58,Thunderstorm,19.7667,-70.5167,Piergiorgio Palace Hotel
659,San Cristobal,VE,75.38,Clouds,7.7669,-72.225,Pirineos
662,Omboue,GA,75.11,Clouds,-1.5746,9.2618,Hotel Olako
663,Innisfail,AU,78.39,Clouds,-17.5333,146.0333,Moondarra Motel
664,Envira,BR,79.2,Rain,-7.3,-70.2167,
666,Grand Gaube,MU,71.38,Clear,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
671,Fort-Shevchenko,KZ,73.51,Clear,44.5086,50.263,Oasis hotel Bautino
672,Noumea,NC,81.0,Clear,-22.2763,166.4572,Hôtel Le Lagon
