City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
181,Chokurdakh,RU,2022-09-16 01:39:50,70.6333,147.9167,37.08,92,100,6.93
182,Mahebourg,MU,2022-09-16 01:39:51,-20.4081,57.7,70.25,73,40,11.5
183,Aschersleben,DE,2022-09-16 01:38:04,51.75,11.4667,53.85,87,16,8.93
184,Kirakira,SB,2022-09-16 01:40:51,-10.4544,161.9205,84.06,71,21,5.61
185,Fukue,JP,2022-09-16 01:40:51,32.6881,128.8419,84.56,79,20,4.61
186,Yabelo,ET,2022-09-16 01:40:52,4.8833,38.0833,58.19,75,100,12.93
187,Roswell,US,2022-09-16 01:39:01,34.0232,-84.3616,72.39,79,0,3.44
188,Kutum,SD,2022-09-16 01:40:52,14.2,24.6667,75.09,65,48,5.35
189,Kendari,ID,2022-09-16 01:40:52,-3.945,122.4989,84.78,65,92,2.66
190,Aklavik,CA,2022-09-16 01:40:53,68.2191,-135.0107,38.93,91,100,5.21
191,Grindavik,IS,2022-09-16 01:40:53,63.8424,-22.4338,43.27,93,0,1.14
192,Homer,US,2022-09-16 01:40:53,59.6425,-151.5483,53.8,75,100,5.01
193,Victoria,HK,2022-09-16 01:36:06,22.2855,114.1577,90.25,69,4,3.0
194,Awjilah,LY,2022-09-16 01:40:53,29.1081,21.2869,74.17,51,0,6.91
195,Shaunavon,CA,2022-09-16 01:40:54,49.6501,-108.4181,64.18,53,85,7.99
196,Honiara,SB,2022-09-16 01:40:54,-9.4333,159.95,86.77,60,6,6.22
197,Marawi,PH,2022-09-16 01:40:54,7.9986,124.2928,78.17,68,100,5.79
198,Tezu,IN,2022-09-16 01:40:55,27.9167,96.1667,77.4,98,92,0.56
199,Cape Canaveral,US,2022-09-16 01:40:26,28.4058,-80.6048,80.67,82,75,4.61
200,Barrow,US,2022-09-16 01:40:55,71.2906,-156.7887,35.62,87,100,27.63
201,San Nicolas,PH,2022-09-16 01:40:55,18.1725,120.5953,84.11,84,75,6.91
202,Castro,BR,2022-09-16 01:40:55,-24.7911,-50.0119,52.43,97,100,5.28
203,Kudahuvadhoo,MV,2022-09-16 01:40:56,2.6708,72.8944,80.33,71,13,2.8
204,Faya,SA,2022-09-16 01:40:56,18.3851,42.4509,63.12,27,20,3.69
205,Sukhothai,TH,2022-09-16 01:40:56,17.25,99.6667,80.49,83,20,3.44
206,Alofi,NU,2022-09-16 01:40:57,-19.0595,-169.9187,82.29,65,75,11.5
207,Leningradskiy,RU,2022-09-16 01:40:57,69.3833,178.4167,35.33,95,100,5.46
208,Biak,ID,2022-09-16 01:40:57,-0.9131,122.8766,81.37,70,100,5.35
209,Ushtobe,KZ,2022-09-16 01:40:57,45.2514,77.9838,49.06,37,56,12.3
210,Saint Anthony,US,2022-09-16 01:40:58,45.0205,-93.218,78.93,54,100,11.5
211,Moron,AR,2022-09-16 01:40:58,-34.6534,-58.6198,61.97,69,0,8.77
212,Juegang,CN,2022-09-16 01:40:58,32.3174,121.1855,82.98,80,80,8.23
213,Fuerte Olimpo,PY,2022-09-16 01:40:58,-21.0415,-57.8738,65.48,43,85,3.71
214,Babu,CN,2022-09-16 01:40:59,24.4167,111.5167,88.07,51,5,1.97
215,Saldanha,ZA,2022-09-16 01:40:59,-33.0117,17.9442,57.25,91,10,8.39
216,Mae Sai,TH,2022-09-16 01:40:59,20.4335,99.8762,75.99,93,98,1.79
217,Altea,ES,2022-09-16 01:41:00,38.5989,-0.0514,78.31,53,9,3.0
218,Arari,BR,2022-09-16 01:41:00,-3.4536,-44.78,76.12,82,100,5.97
219,Sanvordem,IN,2022-09-16 01:41:00,15.2667,74.1167,78.58,93,100,5.64
220,Baykit,RU,2022-09-16 01:41:00,61.67,96.37,44.78,85,100,5.75
221,Hambantota,LK,2022-09-16 01:41:01,6.1241,81.1185,77.34,100,20,3.44
222,Vasterhaninge,SE,2022-09-16 01:41:01,59.1167,18.1,49.84,96,99,8.05
223,Dudinka,RU,2022-09-16 01:37:00,69.4058,86.1778,34.63,79,100,16.8
224,Montesarchio,IT,2022-09-16 01:41:01,41.0654,14.6402,73.96,80,57,2.06
225,Belaya Gora,RU,2022-09-16 01:41:02,68.5333,146.4167,37.54,90,100,6.35
226,Sulphur Springs,US,2022-09-16 01:41:02,33.1385,-95.6011,76.95,50,0,3.44
227,Waingapu,ID,2022-09-16 01:41:02,-9.6567,120.2641,86.29,46,9,9.53
228,Carutapera,BR,2022-09-16 01:41:02,-1.195,-46.02,77.63,84,100,6.33
229,Portland,US,2022-09-16 01:37:56,45.5234,-122.6762,73.63,56,40,12.66
230,Palana,RU,2022-09-16 01:42:03,59.1167,159.9667,46.31,63,11,14.52
231,Xinzhi,CN,2022-09-16 01:42:03,36.4989,111.7047,77.61,46,1,2.35
232,Altamira,BR,2022-09-16 01:42:03,-3.2033,-52.2064,80.58,50,61,4.21
233,Yaan,NG,2022-09-16 01:42:03,7.3833,8.5667,72.57,93,100,6.67
234,Dolinsk,RU,2022-09-16 01:42:04,47.35,142.8,63.12,57,59,4.68
235,Lamar,US,2022-09-16 01:39:17,33.6668,-95.5836,75.18,63,0,5.75
236,Codo,BR,2022-09-16 01:42:04,-4.4553,-43.8856,76.19,80,98,6.91
237,Lompoc,US,2022-09-16 01:41:23,34.6391,-120.4579,72.01,82,75,14.97
238,Pisco,PE,2022-09-16 01:42:04,-13.7,-76.2167,59.05,82,40,3.44
239,Hohhot,CN,2022-09-16 01:42:05,40.8106,111.6522,66.49,55,0,2.24
240,Antalaha,MG,2022-09-16 01:42:05,-14.9003,50.2788,64.85,89,45,7.45
241,Merke,KZ,2022-09-16 01:42:05,42.8728,73.1786,62.62,24,0,2.13
242,Beyneu,KZ,2022-09-16 01:42:06,45.3167,55.2,60.19,73,16,6.85
243,Sioux Lookout,CA,2022-09-16 01:40:47,50.1001,-91.917,51.87,93,100,6.91
244,Teeli,RU,2022-09-16 01:42:06,51.0333,90.2333,41.25,59,25,1.45
245,Sitka,US,2022-09-16 01:42:06,57.0531,-135.33,57.09,72,40,6.91
246,Coro,VE,2022-09-16 01:42:06,11.4045,-69.6734,79.84,78,12,11.99
247,Buchanan,LR,2022-09-16 01:42:07,5.8808,-10.0467,75.78,90,100,7.27
248,Husavik,IS,2022-09-16 01:42:07,66.0449,-17.3389,44.19,66,100,6.29
249,Mayumba,GA,2022-09-16 01:42:07,-3.432,10.6554,74.03,85,100,10.2
250,Hoquiam,US,2022-09-16 01:42:08,46.9809,-123.8893,63.84,81,100,10.36
251,Saint-Leu,RE,2022-09-16 01:42:08,-21.15,55.2833,67.06,72,10,6.06
252,Luganville,VU,2022-09-16 01:42:08,-15.5333,167.1667,81.55,75,55,10.45
253,Santa Fe,AR,2022-09-16 01:42:08,-31.6333,-60.7,63.0,59,0,11.99
254,Manaus,BR,2022-09-16 01:38:55,-3.1019,-60.025,82.89,78,0,2.3
255,Enshi,CN,2022-09-16 01:41:25,30.3,109.4833,73.49,75,89,1.68
256,Pankrushikha,RU,2022-09-16 01:42:09,53.8319,80.3406,45.41,61,7,7.09
257,Xining,CN,2022-09-16 01:42:09,36.6167,101.7667,52.21,90,100,3.58
258,Sunrise Manor,US,2022-09-16 01:42:09,36.2111,-115.0731,92.71,22,0,11.5
259,Servia,GR,2022-09-16 01:42:10,40.1797,21.9944,66.38,55,8,4.61
260,Coolum Beach,AU,2022-09-16 01:42:10,-26.5333,153.1,73.11,73,67,11.21
261,Mlowo,TZ,2022-09-16 01:42:10,-9.0,32.9833,53.96,91,9,1.86
262,Torbay,CA,2022-09-16 01:42:11,47.6666,-52.7314,58.39,91,0,12.66
263,Khatanga,RU,2022-09-16 01:42:11,71.9667,102.5,31.53,98,100,11.03
264,Pimentel,PE,2022-09-16 01:42:11,-6.8367,-79.9342,63.07,86,37,11.74
265,Makakilo City,US,2022-09-16 01:42:11,21.3469,-158.0858,83.01,70,100,5.75
266,Ambilobe,MG,2022-09-16 01:42:12,-13.2,49.05,64.67,68,3,4.99
267,Nouadhibou,MR,2022-09-16 01:42:12,20.931,-17.0347,73.38,73,2,24.16
268,Umea,SE,2022-09-16 01:42:12,63.8284,20.2597,51.91,100,75,4.61
269,Yellowknife,CA,2022-09-16 01:42:12,62.456,-114.3525,64.92,48,20,11.5
270,Iranshahr,IR,2022-09-16 01:42:13,27.2025,60.6848,83.61,22,0,2.77
271,Beloha,MG,2022-09-16 01:42:13,-25.1667,45.05,66.25,62,0,7.18
272,Bone,DE,2022-09-16 01:42:13,51.9669,12.1396,55.26,80,15,10.38
273,San Patricio,US,2022-09-16 01:42:14,28.017,-97.5169,84.29,68,4,10.63
274,Tayshet,RU,2022-09-16 01:42:14,55.9342,98.0044,46.17,60,43,3.33
275,Asau,RO,2022-09-16 01:42:14,46.4333,26.4,67.28,73,78,16.35
276,Cidreira,BR,2022-09-16 01:42:15,-30.1811,-50.2056,60.4,84,1,11.3
277,Moissala,TD,2022-09-16 01:42:15,8.3404,17.7663,70.45,97,100,1.36
278,Albanel,CA,2022-09-16 01:43:15,48.8832,-72.4487,48.34,66,100,9.22
279,Ahipara,NZ,2022-09-16 01:43:15,-35.1667,173.1667,58.06,56,41,8.99
280,Haines Junction,CA,2022-09-16 01:43:16,60.7522,-137.5108,55.35,44,62,9.22
281,Lahij,YE,2022-09-16 01:43:16,13.1667,44.5833,83.88,61,12,3.89
282,Yenagoa,NG,2022-09-16 01:43:16,4.9247,6.2642,73.51,96,100,3.18
283,Kaitangata,NZ,2022-09-16 01:43:16,-46.2817,169.8464,48.61,56,95,6.08
284,Nelson Bay,AU,2022-09-16 01:43:17,-32.7167,152.15,71.11,64,0,10.0
285,Cabra,ES,2022-09-16 01:43:17,37.4725,-4.4421,66.36,71,0,1.32
286,Kalnciems,LV,2022-09-16 01:43:17,56.8011,23.6097,49.01,93,12,10.02
287,Verkhnevilyuysk,RU,2022-09-16 01:43:18,63.4453,120.3167,46.9,65,14,9.66
288,East London,ZA,2022-09-16 01:43:18,-33.0153,27.9116,65.26,63,12,6.64
289,Talmenka,RU,2022-09-16 01:43:18,53.8183,83.5677,44.38,61,8,9.93
290,Hami,CN,2022-09-16 01:43:18,42.8,93.45,63.63,27,0,16.8
291,Petropavlovka,RU,2022-09-16 01:43:19,50.6114,105.3196,44.17,88,100,9.66
292,Narsaq,GL,2022-09-16 01:43:19,60.9167,-46.05,55.62,81,100,7.56
293,San Policarpo,PH,2022-09-16 01:43:19,12.1791,125.5072,85.64,68,100,13.85
294,Staryy Oskol,RU,2022-09-16 01:43:19,51.2967,37.8417,55.53,97,100,8.19
